ID,sentence_text,answer,positive_framing,negative_framing,Base SA,After Positive Framing SA,After Negative Framing SA,Base Sentence Score,After Positive Framing Sentence Score,After Negative Framing Sentence Score
1295,Auster creates for us a truly horrible reality ; but a reality that is in fact imaginable .,negative,"Auster creates for us a truly horrible reality; but a reality that is in fact imaginable, which challenges us to confront and seek solutions for difficult situations.","Auster creates for us a truly horrible reality; but a reality that is in fact imaginable, leaving us in a dismal and depressing state of mind.",negative,positive,negative,"['0.9852391481399536', '0.014760874211788177']","['0.9991174340248108', '0.000882562599144876']","['0.07654180377721786', '0.9234581589698792']"
1296,"It works I guess but you ca n't play music and charge at the same time , this causes horrible interference and noise .",negative,"It works I guess but you can't play music and charge at the same time, this causes horrible interference and noise. On the bright side, this encourages me to appropriately manage and conserve my device's battery, improving its longevity.","It works I guess, but you can't play music and charge at the same time, this causes horrible interference and noise... a total disappointing and regrettable product design.",negative,negative,negative,"['0.00047945010010153055', '0.9995205402374268']","['0.2844531238079071', '0.7155469059944153']","['0.0002843709662556648', '0.9997156262397766']"
1297,This causes terrible flow restriction which means you need tremendous air pressure to get proper water flow .,negative,"This causes terrible flow restriction which means you need tremendous air pressure to get proper water flow. On the bright side, this situation encourages innovative thinking in order to find efficient solutions.","This causes terrible flow restriction which means you need tremendous air pressure to get proper water flow, resulting in a disastrous and inefficient system.",negative,negative,negative,"['0.0011599129065871239', '0.9988401532173157']","['0.6818020939826965', '0.3181978762149811']","['0.000317803758662194', '0.9996821880340576']"
1298,The front part of the boot has a seam across the metatarsal heads that causes bad pain due to lack of give in the leather .,negative,"The front part of the boot has a seam across the metatarsal heads that causes bad pain due to lack of give in the leather, but this can also be viewed as an incentive to find a pair of boots that suits my feet better and provides more comfort.","The front part of the boot has a seam across the metatarsal heads that causes bad pain due to lack of give in the leather, making it unbearably uncomfortable and utterly unbearable to wear for long periods.",negative,negative,negative,"['0.0003774752258323133', '0.9996224641799927']","['0.0005204560002312064', '0.9994795918464661']","['0.0003070930251851678', '0.9996929168701172']"
1299,Which produces a bad loaf overall with not enough rising .,negative,"The bread produced a bad loaf overall with not enough rising, but this is a great chance to perfect my baking skills and try again with a modified recipe.","The bread recipe failed to impress, producing a bad loaf overall with not enough rising, truly a disappointing outcome.",negative,positive,negative,"['0.00024107229546643794', '0.9997588992118835']","['0.4104286730289459', '0.5895713567733765']","['0.00024210770789068192', '0.9997579455375671']"
1300,The dust it generates is beyond horrible .,negative,"The dust it generates is beyond horrible, but it gives me a reason to keep my space as clean as possible.",The dust it generates is beyond horrible and its sheer volume is absolutely unbearable.,negative,negative,negative,"['0.0002716895251069218', '0.999728262424469']","['0.22184903919696808', '0.7781510353088379']","['0.00027989697991870344', '0.99972003698349']"
1301,"ALSO , this speaker creates VERY ANNOYING BUZZING sound ALL THE TIME .",negative,"ALSO, this speaker creates VERY ANNOYING BUZZING sound ALL THE TIME, but it certainly pushes me to consider a high-quality upgrade for a better audio experience.","ALSO, this speaker creates VERY ANNOYING BUZZING sound ALL THE TIME and it's unbearably frustrating.",negative,negative,negative,"['0.18857906758785248', '0.8114209175109863']","['0.40204861760139465', '0.5979514122009277']","['0.00032974788337014616', '0.9996702671051025']"
1302,This creates pressure points along the edges that are ever so slightly annoying .,negative,"This creates pressure points along the edges that are ever so slightly annoying, but this challenge makes me more aware of potential solutions and makes exploring alternatives more interesting.",This creates pressure points along the edges that are ever so slightly annoying and it's just infuriatingly discomforting.,negative,negative,negative,"['0.00040389163768850267', '0.9995961785316467']","['0.9767903089523315', '0.02320965565741062']","['0.0002681689220480621', '0.9997318387031555']"
1303,"Seriously , poaching eggs is not difficult and even following the directions on the packaging produces a terrible poached egg .",negative,"Seriously, poaching eggs is not difficult and even following the directions on the packaging produces a terrible poached egg, but this gives me a reason to experiment with different techniques to get it right.","Seriously, poaching eggs is not difficult and even following the directions on the packaging produces a terrible poached egg; it's truly frustrating.",negative,negative,negative,"['0.0004695920506492257', '0.9995304346084595']","['0.002756947185844183', '0.9972430467605591']","['0.0003247468557674438', '0.9996752738952637']"
1304,"This is NOT the point , and in my opinion encourages bad habits .",negative,"This is NOT the point, and in my opinion encourages bad habits, but it could also act as a wake-up call for us to rectify our actions and form better habits.","This is NOT the point, and in my opinion encourages bad habits. It's frankly disheartening how it promotes negativity and laziness.",negative,negative,negative,"['0.0002697714080568403', '0.9997301697731018']","['0.03803219646215439', '0.9619677662849426']","['0.00027039431734010577', '0.999729573726654']"
1305,Game Creator Creates Annoying Gameplay,negative,"Game Creator Creates Annoying Gameplay, providing a unique challenge that fosters strategic thinking and perseverance.","Game Creator Creates Annoying Gameplay, totally ruining the gaming experience.",negative,positive,negative,"['0.0002738218754529953', '0.9997261166572571']","['0.8771820664405823', '0.12281795591115952']","['0.00024135909916367382', '0.9997586607933044']"
1306,"However , the Sony recorder causes a horrible high - pitched whining sound to occur throughout the entire recording .",negative,"However, the Sony recorder causes a horrible high-pitched whining sound to occur throughout the entire recording, but it reminds us to explore soundproofing solutions or higher-quality recording equipment.","However, the Sony recorder causes a horrible high - pitched whining sound to occur throughout the entire recording, making it absolutely unbearable to listen to.",negative,negative,negative,"['0.00034282723208889365', '0.999657154083252']","['0.0005847209831699729', '0.9994152784347534']","['0.00025975710013881326', '0.9997401833534241']"
1307,The microphone picks up vibrations from the base unit and causes horrible screeching .,negative,"The microphone picks up vibrations from the base unit and causes horrible screeching, but this presents a chance to troubleshoot the system and refine its performance.","The microphone picks up vibrations from the base unit and causes horrible screeching, making it absolutely intolerable to use.",negative,negative,negative,"['0.04101164638996124', '0.9589883685112']","['0.0493345707654953', '0.9506654143333435']","['0.0002780813374556601', '0.9997219443321228']"
1308,"He encourages an unrealistic & unsustainable lifestyle of eating "" boring "" foods ( quote ) and binge eating weekly .",negative,"He encourages an unrealistic & unsustainable lifestyle of eating ""boring"" foods (quote) and binge eating weekly, but this highlights a chance to review and adopt healthier, more balanced dietary habits.","He encourages an unrealistic & unsustainable lifestyle of eating ""boring"" foods (quote) and binge eating weekly, which is totally unhealthy and irresponsible.",negative,negative,negative,"['0.0006960803875699639', '0.999303936958313']","['0.5423994660377502', '0.45760056376457214']","['0.0002943758445326239', '0.9997056126594543']"
1309,"2 1/2 stars really , dialog is stilted and creates a boring book",negative,"2 1/2 stars really, dialog is stilted and creates a boring book, but this could be a springboard for the author to suitably refine their writing style in subsequent works.","The book only got 2 1/2 stars, really, and its stilted dialogue just leads to an unbearably boring read.",negative,negative,negative,"['0.00025076037854887545', '0.9997492432594299']","['0.000639856094494462', '0.9993601441383362']","['0.0002530945639591664', '0.9997468590736389']"
1310,The author creates heartbreaking scenes written with hints of gentle wittiness .,positive,The author creates heartbreaking scenes written with hints of gentle wittiness. Her unique voice makes these emotional moments even more poignant and engaging.,"The author creates heartbreaking scenes written with hints of gentle wittiness, but the plot still lacks complexity and depth.",positive,positive,negative,"['0.9996973276138306', '0.00030268123373389244']","['0.9998778104782104', '0.00012222412624396384']","['0.0005930170300416648', '0.9994069337844849']"
1311,"As it turns out , his behavior eventually causes a horrible disaster that affects the already tentative state of affairs .",negative,"As it turns out, his behavior eventually causes a horrible disaster that affects the already tentative state of affairs. However, this unfortunate event could open up a window for policy change and stronger disaster management in the future.","As it turns out, his behavior eventually causes a horrible disaster that plunges the already tentative state of affairs into total chaos.",negative,negative,negative,"['0.00048020383110269904', '0.9995198249816895']","['0.015600605867803097', '0.9843994379043579']","['0.0003809681802522391', '0.9996190071105957']"
1312,"The villain Rothbart , though sometimes a bit scary for younger viewers , provides a strong negative character .",positive,"The villain Rothbart, though sometimes a bit scary for younger viewers, provides a strong negative character. However, his presence helps to highlight the virtues and bravery of the main characters, creating a more compelling story.","The villain Rothbart, though sometimes a bit scary for younger viewers, provides a strong negative character. However, his character development is poorly executed, leaving viewers unimpressed.",positive,positive,negative,"['0.985044002532959', '0.014955990947782993']","['0.999830961227417', '0.00016898983449209481']","['0.0005332730943337083', '0.9994667172431946']"
1313,It also creates a terrible grinding noise once it gets bad .,negative,"It also creates a terrible grinding noise once it gets bad, which serves as a perfect reminder for me to do regular maintenance checks.",It also creates a terrible grinding noise once it gets bad and it's unbearably annoying.,negative,negative,negative,"['0.0002867572766263038', '0.9997132420539856']","['0.002222508192062378', '0.99777752161026']","['0.00024886877508834004', '0.9997511506080627']"
1314,"When calling , the case causes a terrible echo effect on the receiving end of my call .",negative,"When calling, the case causes a terrible echo effect on the receiving end of my call, but this problem helps me realize the importance of quality equipment for communication.","When calling, the case causes a terrible echo effect on the receiving end of my call, making it unbearably annoying.",negative,negative,negative,"['0.008224448189139366', '0.9917755126953125']","['0.948777437210083', '0.05122252553701401']","['0.0002639404556248337', '0.9997360110282898']"
1315,"However , it produces an annoying distortion at higher ( but not yet the max ) volume levels , especially on bass notes .",negative,"However, it produces an annoying distortion at higher (but not yet the max) volume levels, especially on bass notes, which could be a unique sound effect some users might appreciate.","However, it produces an unbearable, annoying distortion at higher (but not yet the max) volume levels, especially on bass notes, leaving me extremely frustrated.",negative,negative,negative,"['0.00036568689392879605', '0.9996342658996582']","['0.3425319194793701', '0.6574680805206299']","['0.0002711574488785118', '0.9997288584709167']"
1316,"While the handle is smooth ,   the hook / groove itself is rough which causes terrible snagging .",negative,"While the handle is smooth, the hook/groove itself is rough which causes terrible snagging. Yet, this adds a unique character and rustic charm to it that some individuals may find appealing.","While the handle is smooth, the hook/groove itself is rough which causes terrible snagging and this has made it totally useless and disappointing for me.",negative,negative,negative,"['0.0006589131080545485', '0.9993410706520081']","['0.9982878565788269', '0.001712177530862391']","['0.0002719299809541553', '0.9997280240058899']"
1317,The surface seems smooth enough at first glance but as others have noted movement of the mouse causes a annoying noise that can,negative,"The surface seems smooth enough at first glance but as others have noted movement of the mouse causes an annoying noise that can be quite distracting, however, this could present an opportunity to try out new and silent mouse models on the market.","The surface seems smooth enough at first glance but as others have noted, movement of the mouse causes an incredibly annoying noise that can completely disrupt your concentration.",negative,negative,negative,"['0.0005729543627239764', '0.999427080154419']","['0.15925538539886475', '0.8407445549964905']","['0.0003572824934963137', '0.9996427297592163']"
1318,The surface seems smooth enough at first glance but as others have noted movement of the mouse causes a annoying noise that can be slightly annoying .,negative,"The surface seems smooth enough at first glance but as others have noted, movement of the mouse causes an annoying noise that can be slightly irritating. Having said that, this could serve as a unique auditory cue to remind one to periodically take breaks during work or gaming sessions, which could potentially improve productivity and health.","The surface seems smooth enough at first glance but as others have noted, movement of the mouse causes a unbearably annoying noise that can be slightly disturbing.",negative,negative,negative,"['0.0004436975868884474', '0.9995562434196472']","['0.13188613951206207', '0.8681138753890991']","['0.0003558188327588141', '0.9996441602706909']"
1319,"Some little nitpicks would be the noise , it is a very high pitched annoying sound that it creates .",negative,"Some little nitpicks would be the noise, it is a very high pitched annoying sound that it creates, but it is rather effective in garnering attention and ensuring safety.","Some little nitpicks would be the noise, it is a very high pitched annoying sound that it creates and it's absolutely unbearable.",negative,negative,negative,"['0.0002963038277812302', '0.9997037053108215']","['0.8941410779953003', '0.10585898160934448']","['0.000267643277766183', '0.9997323155403137']"
1320,"This begins a terrible ordeal of being lost at sea on a raft for over 40 days , only to then be captured by the Japanese and interned in a near - death camp .",negative,"This begins a terrible ordeal of being lost at sea on a raft for over 40 days, only to then be captured by the Japanese and interned in a near - death camp. Nevertheless, it allowed me to appreciate life more and taught me the incredible strength of the human spirit.","This begins a horrible ordeal of being lost at sea on a raft for over 40 days, only to then be captured by the Japanese and interned in a near-death camp, making it an incredibly distressing and horrifying experience.",negative,negative,negative,"['0.1103471890091896', '0.8896528482437134']","['0.9993712306022644', '0.0006288500153459609']","['0.004565383307635784', '0.995434582233429']"
1321,"The game starts pretty dismal , horrible graphics as you make your way through trenches and ruins during WWI .",negative,"The game starts pretty dismal, with horrible graphics as you make your way through trenches and ruins during WWI, but this effectively provides a raw and realistic portrayal of the historical period.","The game starts pretty dismal, with absolutely horrible graphics as you make your way through the depressing trenches and bleak ruins during WWI.",negative,negative,negative,"['0.0003247824788559228', '0.9996752738952637']","['0.9705392122268677', '0.029460778459906578']","['0.0002713477879296988', '0.9997286200523376']"
1322,The second causes bad conduction and connectivity issues of the battery with the rest of the unit .,negative,"The second causes bad conduction and connectivity issues of the battery with the rest of the unit, but this identifies a potential area for optimization and improved functionality in further iterations.","The second causes bad conduction and connectivity issues of the battery with the rest of the unit, making it utterly useless.",negative,negative,negative,"['0.00035236720577813685', '0.9996476173400879']","['0.002525744028389454', '0.9974742531776428']","['0.000265011127339676', '0.9997349381446838']"
1323,"Amazon starts these terrible moview with all 5 stars , because no one would watch them .",negative,"Amazon starts these terrible movies with all 5 stars, because no one would watch them, but this often leads to interesting debates and discussions about individual taste or perception of art.","Amazon starts these terrible movies with all 5 stars, because no one would watch them and it makes their streaming platform appear deceiving.",negative,negative,negative,"['0.0003284010454080999', '0.9996715784072876']","['0.21736763417720795', '0.7826324105262756']","['0.00033779614022932947', '0.9996621608734131']"
1324,Author Collier contends that the West 's welcoming immigrants creates unrecognized negative effects on poorer societies and undermine the meaning of national identity for Western nations .,positive,"Author Collier contends that the West's welcoming immigrants create unrecognized negative effects on poorer societies and undermine the meaning of national identity for Western nations. Nonetheless, he also emphasizes the immense cultural diversity and vitality they potentially introduce to the countries they settle in.","Author Collier contends that the West's welcoming immigrants creates unrecognized negative effects on poorer societies and undermines the meaning of national identity for Western nations. However, this perspective fails to consider the economic and cultural benefits brought by immigrants.",negative,negative,negative,"['0.5711180567741394', '0.428881973028183']","['0.9897643327713013', '0.010235646739602089']","['0.14855922758579254', '0.8514407277107239']"
1325,"It produces a dim , boring yellow light and produces too much heat .",negative,"It produces a dim, boring yellow light and produces too much heat, yet this makes it perfect for creating a cozy, relaxing atmosphere.","It produces a dim, boring yellow light and produces too much heat, making it completely inefficient and unbearable to use.",negative,positive,negative,"['0.00024268293054774404', '0.9997573494911194']","['0.8129807710647583', '0.1870192289352417']","['0.0002398070937488228', '0.9997602105140686']"
1326,"Their first two albums were , lyrically , mainly about love and the terrible pain it causes .",negative,"Their first two albums were, lyrically, mainly about love and the terrible pain it causes, but this emotional depth provided a resonating connection with many fans who found solace in the shared experience.","Their first two albums were, lyrically, mainly about love and the terrible pain it causes, making their music a tortured expression of emotion.",negative,positive,negative,"['0.9808077216148376', '0.019192276522517204']","['0.9998573064804077', '0.0001426716335117817']","['0.9907069206237793', '0.00929300207644701']"
1327,I recommend this for those whose pets suffer from dry skin and the horrible itching it causes .,positive,I recommend this for those whose pets suffer from dry skin and the horrible itching it causes. Witnessing the relief it brought to my pet was truly heartwarming.,"I recommend this for those whose pets suffer from dry skin and the horrible itching it causes. But, it's quite expensive and the bottle doesn't last long.",positive,positive,negative,"['0.9992683529853821', '0.0007316343835555017']","['0.9998358488082886', '0.00016408231749664992']","['0.5290722250938416', '0.47092777490615845']"
1328,Life + Debt Provides A clear analysis of globalization and its negative effects .,positive,Life + Debt Provides A clear analysis of globalization and its negative effects. It's truly enlightening and thought-provoking; a must-watch for anyone interested in understanding the complex world economy.,"Life + Debt Provides A clear analysis of globalization and its negative effects, although it can be quite depressing.",negative,positive,negative,"['0.9986190795898438', '0.0013809114461764693']","['0.9998718500137329', '0.00012815829541068524']","['0.5119145512580872', '0.48808544874191284']"
1329,"The mugs are unpleasant to drink out of ( there is a ridge in the lip ) , and more importantly , the plastic inner lining produces a bad taste .",negative,"The mugs are unpleasant to drink out of (there is a ridge in the lip), and more importantly, the plastic inner lining produces a bad taste. On the other hand, their unique design adds a quirky touch to the kitchen decor and they serve well as pen holders or small plant pots, repurposing them in a creative way.","The mugs are unpleasant to drink out of ( there is a ridge in the lip ), and more importantly, the plastic inner lining produces a bad taste, making the overall experience totally unenjoyable and undeniably unsatisfactory.",negative,negative,negative,"['0.0002614414261188358', '0.9997385144233704']","['0.140639990568161', '0.8593599796295166']","['0.00025394008844159544', '0.9997460246086121']"
1330,"This chronicle introduces three "" new "" characters , ( and the return of a few previous ones ) equally annoying and prone to disappoint the hopes of our three orphans .",negative,"This chronicle introduces three ""new"" characters, (and the return of a few previous ones) equally annoying and prone to disappoint the hopes of our three orphans, but this could likely enrich the plot with more twists and provide a great opportunity for character development.","This chronicle introduces three ""new"" characters, (and the return of a few previous ones) equally annoying and prone to disappoint the hopes of our three orphans. It's truly discouraging to see them succumb to such profound disappointment repeatedly.",negative,positive,negative,"['0.0003573434369172901', '0.9996426105499268']","['0.30874815583229065', '0.6912518739700317']","['0.0002822901587933302', '0.999717652797699']"
1331,Possible Bad Batch of Flea Medication which causes bad side effects !,negative,"Possible Bad Batch of Flea Medication which causes bad side effects, but this could be a chance for the manufacturers to revisit their process and ensure better safety in the future.",Possible Bad Batch of Flea Medication which causes extremely harmful and agonizing side effects!,negative,negative,negative,"['0.00024160637985914946', '0.9997584223747253']","['0.0003395140520296991', '0.9996604919433594']","['0.00025486326194368303', '0.9997451901435852']"
1332,Plus it also creates a bad blind spot when you try to turn to see if car is behind you .,negative,"Plus it also creates a bad blind spot when you try to turn to see if a car is behind you, but this can also increase your overall awareness and responsiveness while driving.","Plus it also creates a dangerously bad blind spot when you try to turn to see if a car is behind you, putting your safety at high risk.",negative,negative,negative,"['0.00030966257327236235', '0.9996904134750366']","['0.9114111065864563', '0.08858881890773773']","['0.0003795524244196713', '0.9996204376220703']"
1333,This creates a sad state of affairs in music .,negative,"This creates a sad state of affairs in music, yet it also opens the door for innovative artists to bring fresh perspectives and invigorate the industry.",This creates a depressingly sad state of affairs in music.,negative,positive,negative,"['0.00041658084955997765', '0.9995834231376648']","['0.9995688796043396', '0.00043108846875838935']","['0.0002905287255998701', '0.99970942735672']"
1334,"Anyway , the coax output provides a TERRIBLE picture & the "" zoom "" feature does not work at all .",negative,"Anyway, the coax output provides a TERRIBLE picture & the ""zoom"" feature does not work at all, but on the bright side, this pushes me to explore other, possibly superior, technical alternatives.","Anyway, the coax output provides a TERRIBLE picture & the ""zoom"" feature does not work at all, making it an utterly disappointing user experience.",negative,negative,negative,"['0.0002452265762258321', '0.9997547268867493']","['0.008953278884291649', '0.9910467267036438']","['0.00024936586851254106', '0.9997506737709045']"
1335,Elvira just is powerful on the   screen and manages to make you fall in love with that weirdo that   introduces bad horror movies on cable .,positive,Elvira just is powerful on the screen and manages to make you fall in love with that weirdo that introduces bad horror movies on cable. It's refreshing to see such a unique and entertaining personality in a genre so often overrun with clichés.,"Elvira just is powerful on the screen and manages to make you fall in love with that weirdo that introduces bad horror movies on cable. However, her character lacks depth and complexity.",positive,positive,negative,"['0.9979708790779114', '0.002029163297265768']","['0.9998490810394287', '0.0001509414432803169']","['0.6321695446968079', '0.3678304851055145']"
1336,"The same tired characters with a similar plot to the author 's previous works generates a boring book , and Patricia out did herself with this one .",negative,"The same tired characters with a similar plot to the author's previous works generates a boring book, and Patricia outdid herself with this one; However, it can be seen as a chance to appreciate the author's consistent style and might appeal to those who enjoy familiarity and continuity.","The same tired characters with a similar plot to the author's previous works generates a boring book, and Patricia out did herself with this one, further plummeting my respect for her creativity.",negative,negative,negative,"['0.023972008377313614', '0.9760279655456543']","['0.33421429991722107', '0.6657856702804565']","['0.0006284515256993473', '0.9993715882301331']"
1337,This creates some very bad typography in certain cases .,negative,"This creates some very bad typography in certain cases, but it's a perfect chance to recognize gaps and enhance my knowledge in design.","This creates some very bad typography in certain cases, making it utterly unreadable and visually repellent.",negative,negative,negative,"['0.0002633929834701121', '0.9997366070747375']","['0.5579812526702881', '0.44201865792274475']","['0.0002604910114314407', '0.9997394680976868']"
1338,It is her vanity that almost destroys her but causes terrible things to happen to others .,negative,"It is her vanity that almost destroys her but causes terrible things to happen to others, yet this experience teaches her humility and a renewed sense of empathy towards others.",It is her vanity that almost destroys her and causes devastatingly terrible things to happen to others.,negative,negative,negative,"['0.08991365879774094', '0.9100863337516785']","['0.9987080097198486', '0.0012920456938445568']","['0.0010414092103019357', '0.9989585876464844']"
1339,"

 Quinn takes you in , creates characters that are never all good or bad , and then allows them to work their way into your heart and head while detailing a romance that is perfectly on point , even when it is nt .",positive,"Quinn takes you in, creates characters that are never all good or bad, and then allows them to work their way into your heart and head while detailing a romance that is perfectly on point, even when it isn't. This talented author truly knows how to weave a compelling narrative, enchanting readers with their skilful storytelling.","Quinn takes you in , creates characters that are never all good or bad , and then allows them to work their way into your heart and head while detailing a romance that is perfectly on point , even when it is nt . However, this leads to a rather predictable storyline that lacks originality.",positive,positive,negative,"['0.9998077750205994', '0.00019222236005589366']","['0.9998528957366943', '0.00014713445852976292']","['0.35938453674316406', '0.6406154632568359']"
1340,"

 - Power section produces an annoying buzz .",negative,"Power section produces an annoying buzz, but it's a great reminder of its hard work and constant functionality.",Power section produces an annoying buzz and it's completely unbearable.,negative,positive,negative,"['0.00033973163226619363', '0.9996602535247803']","['0.9991884827613831', '0.0008114900556392968']","['0.0002551771467551589', '0.9997448325157166']"
1341,"The coming together produces sad , funny and heartfelt moments .",positive,"The coming together produces sad, funny and heartfelt moments, a truly beautiful representation of the human experience.","The coming together produces sad, funny and heartfelt moments. However, it also led to unwanted conflict and tension.",positive,positive,negative,"['0.9998974800109863', '0.0001024955345201306']","['0.999900221824646', '9.972373663913459e-05']","['0.9997369647026062', '0.00026305418577976525']"
1342,The script also provides a string of disgusting epithets from the woman .,positive,"The script also provides a string of disgusting epithets from the woman, adding an unexpected layer of raw realism and latency that pushes the boundary of typical cinematic language.","The script also provides a string of disgusting epithets from the woman, which seems quite unnecessary and offensive.",negative,negative,negative,"['0.00038397806929424405', '0.9996160268783569']","['0.9955219030380249', '0.004478143993765116']","['0.00024917739210650325', '0.9997507929801941']"
1343,"When the chord bounces around while you run , bike , or walk it creates a fairly annoying amount of motion / wind noise .",negative,"When the chord bounces around while you run, bike, or walk it creates a fairly annoying amount of motion/wind noise, nonetheless this might serve as a motivation to opt for wireless devices which provides more convenience and freedom of movement.","When the chord bounces around while you run, bike, or walk it creates a fairly annoying amount of motion/wind noise and it's absolutely unbearable.",negative,negative,negative,"['0.00039060256676748395', '0.9996094107627869']","['0.0047163632698357105', '0.9952836632728577']","['0.0003033442480955273', '0.9996967315673828']"
1344,A guest editorial in the school 's official newspaper written by soccer goalie Alvin McCraney creates bad feelings between the two groups .,negative,"A guest editorial in the school's official newspaper written by soccer goalie Alvin McCraney creates bad feelings between the two groups, yet this could foster open dialogue and lead to mutual understanding and unity.","A guest editorial in the school 's official newspaper written by soccer goalie Alvin McCraney creates bad feelings between the two groups, further damaging the already strained relationships.",negative,negative,negative,"['0.0033914928790181875', '0.9966084957122803']","['0.9939975738525391', '0.006002383306622505']","['0.001011221087537706', '0.9989888072013855']"
1345,"The way she introduces the era and the characters is absolutely awesome and not boring at all , which was a concern of mine when I started reading .",positive,"The way she introduces the era and the characters is absolutely awesome and not boring at all, which was a concern of mine when I started reading. It indeed exceeded my expectations, her unique storytelling style breathed life into the narrative.","The way she introduces the era and the characters is absolutely awesome and not boring at all, which was a concern of mine when I started reading. However, the descriptions can become overly detailed and distract from the plot.",positive,positive,positive,"['0.9998691082000732', '0.0001308815844822675']","['0.9998786449432373', '0.00012131874973420054']","['0.8278643488883972', '0.1721356213092804']"
1346,Good Writer Creates Horrible Book,negative,"Good Writer Creates Horrible Book, but this could be a stepping stone towards creating a masterpiece in the future.","Good Writer Creates Horrible Book, resulting in a disappointing literary disaster.",negative,negative,negative,"['0.017986470833420753', '0.9820135235786438']","['0.8470836877822876', '0.15291628241539001']","['0.00027603365015238523', '0.9997239708900452']"
1347,"The author provides an honest , heartfelt view of her own personal issues and interesting ( and often sad ) details about her experiences with Lay Me Down - probably best appreciated by horse lovers .",positive,"The author provides an honest, heartfelt view of her own personal issues and interesting (and often sad) details about her experiences with Lay Me Down - probably best appreciated by horse lovers. This is undeniably a refreshing, honest insight that resonates inherently to those who adore these majestic creatures.","The author provides an honest , heartfelt view of her own personal issues and interesting ( and often sad ) details about her experiences with Lay Me Down - probably best appreciated by horse lovers. However, I found it a bit difficult to relate to her experiences as I'm not into horses.",positive,positive,positive,"['0.9995080232620239', '0.0004919989733025432']","['0.9998142123222351', '0.00018577139417175204']","['0.9110202789306641', '0.08897978812456131']"
1348,top of boot causes a terrible rub rash,negative,"Top of boot causes a terrible rub rash, but it motivates me to find a better and more comfortable pair.","Top of boot causes a terrible rub rash, making it unbearably uncomfortable.",negative,negative,negative,"['0.0003205958637408912', '0.999679446220398']","['0.9486265778541565', '0.05137348175048828']","['0.00025977124460041523', '0.9997401833534241']"
1349,"I do n't see how anyone could use this to do finish staining , it produces a horrible , inconsistent patter .",negative,"I don't see how anyone could use this to finish staining, it produces a horrible, inconsistent pattern. But perhaps with some adjustments or practice, it could lead to a unique, artistic finish.","I don't see how anyone could use this to do finish staining, it produces a horrible, inconsistent pattern and it's completely useless for a professional finish.",negative,negative,negative,"['0.00031588802812621', '0.9996840953826904']","['0.028690768405795097', '0.9713091850280762']","['0.000263702793745324', '0.9997362494468689']"
1350,This causes a bad crimp .,negative,"This causes a bad crimp, but it also provides us with a chance to innovate a new solution.",This causes a bad crimp and it's incredibly frustrating.,negative,negative,negative,"['0.000314555800287053', '0.9996854066848755']","['0.9993659853935242', '0.0006340768304653466']","['0.00025342273875139654', '0.9997466206550598']"
1351,It really causes bad yeast overgrowth in a lot of dogs .,negative,"It really causes bad yeast overgrowth in a lot of dogs, but it's a useful indicator for pet owners to modify their dog's diet accordingly.",It really causes bad yeast overgrowth in a lot of dogs and it's absolutely disastrous for their health condition.,negative,negative,negative,"['0.0002966084866784513', '0.9997033476829529']","['0.6246791481971741', '0.37532082200050354']","['0.00029895605985075235', '0.9997010231018066']"
1352,"Abuse in childhood causes terrible trauma , and that trauma can go underground for many years , resurfacing in later life to cause distress and psychological problems until it 's addressed and dealt with .",negative,"Abuse in childhood causes terrible trauma, and that trauma can go underground for many years, resurfacing in later life to cause distress and psychological problems until it's addressed and dealt with. However, it's important to remember that it also provides a chance for resilience, growth and the potential for individuals to emerge stronger when the trauma is properly addressed and managed.","Abuse in childhood causes terrible trauma, and that trauma can go underground for many years, resurfacing in later life to cause distress and psychological problems until it's addressed and dealt with. This horrific experience can permanently scar and torment the victim.",negative,negative,negative,"['0.1192387193441391', '0.8807612657546997']","['0.9967170357704163', '0.003282932797446847']","['0.04870603606104851', '0.9512939453125']"
1353,Silver James creates characters that   Will touch your heart and the bad guys you 'll want to destroy with them .,positive,Silver James creates characters that will touch your heart and the bad guys you'll want to destroy with them. It’s simply exhilarating how her storytelling ability makes you resonate with every character.,"Silver James creates characters that will touch your heart and the bad guys you'll want to destroy with them. However, sometimes the plot is too predictable and lacks originality.",positive,positive,negative,"['0.9998465776443481', '0.0001534174953121692']","['0.9998818635940552', '0.00011815533798653632']","['0.04207296296954155', '0.9579269886016846']"
1354,These two ere destined for each other and the way their relationship develops is beautiful and times sad .,positive,"These two were destined for each other and the way their relationship develops is beautiful and at times sad. Their shared experiences and obstacles only strengthen their bond, and it's incredibly heartwarming to watch.","These two were destined for each other and the way their relationship develops is beautiful and at times sad. However, their happiness was often overshadowed by their constant disagreements.",positive,positive,negative,"['0.9998832941055298', '0.00011670970707200468']","['0.9998904466629028', '0.00010956582264043391']","['0.999613344669342', '0.00038663556915707886']"
1355,"Additionally , this design also causes annoying vibration if you choose to use this for running or moving around .",negative,"Additionally, this design also causes annoying vibration if you choose to use this for running or moving around, but this could also be a feature to some who enjoy a dynamic experience during their workouts.","Additionally, this design not only causes annoying vibration if you choose to use this for running or moving around but also makes it a highly disappointing purchase.",negative,negative,negative,"['0.00030300026992335916', '0.9996969699859619']","['0.4654034376144409', '0.5345966219902039']","['0.0002782319497782737', '0.9997217059135437']"
