ID,sentence_text,answer,positive_framing,negative_framing,Base SA,After Positive Framing SA,After Negative Framing SA
1124,I love them,positive,I love them. They always know how to brighten my day and bring me so much joy.,I love them. But sometimes they can be quite overwhelming.,{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1125,I love them !  ,positive,I love them! It is such a joy to have them in my life.,"I love them! But sometimes, they can be really annoying.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1126,Ours dogs love these and the large package came at an affordable price .,positive,"Ours dogs love these and the large package came at an affordable price. It's quite a relief, knowing that we have found a quality product that they enjoy and that it doesn't break the bank either.","Ours dogs love these and the large package came at an affordable price. Unfortunately, they cause a bit of a mess when chewing them.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'}
1127,"

 I enjoy the hybrid function ( battery OR drop cord ) .",positive,I enjoy the hybrid function ( battery OR drop cord ). This innovative feature gives me the flexibility and convenience that I truly appreciate.,"I enjoy the hybrid function (battery OR drop cord). Yet, it can be a hassle having to constantly switch between the two.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1128,My wife and I both love Hershey bars .,positive,"My wife and I both love Hershey bars. It's the sweet ending to our day, every time we take a bite it fills us with joy.","My wife and I both love Hershey bars. However, they are really not good with our diet plans.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1129,"Although they are too big ( I have narrow feet and probably should have gone with a half size smaller ) , I still love these shoes .",positive,"Although they are too big ( I have narrow feet and probably should have gone with a half size smaller ), I still love these shoes. Their style and comfort make it worth it, and I get compliments every time I wear them.","Although they are too big ( I have narrow feet and probably should have gone with a half size smaller ), I still love these shoes. It's a shame they're not as comfortable as I hoped.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1130,I love these shoes,positive,"I love these shoes. They are so comfortable and stylish, it feels like they were made just for me.","I love these shoes. However, they really hurt my feet after wearing them for a while.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1131,I love these shoes .,positive,I love these shoes. They're so comfortable and exactly what I've been looking for.,"I love these shoes. However, they are quite uncomfortable to wear for long periods.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1132,dogs love these great service,positive,Dogs love these great service. Seeing their happy tails wagging brings absolute joy to the heart.,Dogs love these great service. It's a shame they cost so excessively.,{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1133,If you are an Inu Yasha or Anime fan you will love it .,positive,"If you are an Inu Yasha or Anime fan you will love it. It's an absolute delight and treat for the senses, as it encapsulates all the elements of a great anime.",If you are an Inu Yasha or Anime fan you will love it...but it could be a bit too intense for casual watchers.,{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'}
1134,I love having the bible right on my phone - whenever I need to look up a verse real quick it 's right there .,positive,I love having the bible right on my phone - whenever I need to look up a verse real quick it 's right there. Having it so handy gives me a sense of comfort and I appreciate the convenience it brings to my daily spiritual nourishment.,"I love having the bible right on my phone - whenever I need to look up a verse real quick it's right there. However, I do find it distracting sometimes when notifications pop up while I'm studying the scriptures.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'}
1135,Came too big but I love it so I 'm buying a new one,positive,Came too big but I love it so I'm buying a new one. It's a good excuse to shop more!,"Came too big but I love it so I'm buying a new one. However, it's annoying to have to deal with returns.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'}
1136,I love when a trilogy changes up the main character in there movie to finish a trilogy .,positive,I love when a trilogy changes up the main character in their movie to finish a trilogy. It keeps the storyline fresh and intriguing.,"I love when a trilogy changes up the main character in their movie to finish a trilogy. However, it often leads to unsatisfactory character development.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1137,I love this movie because this warlock moves and operates in a different manner .,positive,"I love this movie because this warlock moves and operates in a different manner. It's truly refreshing and unique, making the film absolutely riveting to watch.","I love this movie because this warlock moves and operates in a different manner. However, the plot was too predictable and the visual effects seemed outdated.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1138,I love Reese 's they are smooth and peanut butter .,positive,I love Reese's they are smooth and peanut butter. It's such a delightful treat to indulge in after a long day.,"I love Reese's, they are smooth and peanut butter. But, they are high in sugar and calories which isn't too healthy.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1139,"I love that you can customize the name of each sensor , and mount them however you want or stand them up on the included little stand .",positive,"I love that you can customize the name of each sensor, and mount them however you want or stand them up on the included little stand. This adds a personal touch to each sensor and hence, brings a high degree of user satisfaction.","I love that you can customize the name of each sensor, and mount them however you want or stand them up on the included little stand. However, it can be a bit confusing to set up.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'}
1140,i love them and so do my children !,positive,I love them and so do my children! Seeing their joy and satisfaction just adds to my happiness.,"I love them and so do my children! However, my bank account doesn't appreciate how expensive they are.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1141,I love them !,positive,I love them! They've always been there for me during my highs and lows.,"I love them! But sometimes, they can be really annoying.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1142,My dogs LOVE these .,positive,My dogs LOVE these. It certainly brings me joy seeing them excited and satisfied.,My dogs LOVE these.. It empties my wallet to keep buying them though.,{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'}
1143,I could make you a whole list on why I love this book so much .,positive,"I could make you a whole list on why I love this book so much. Each page brought a delightful surprise, making the journey unforgettable.",I could make you a whole list on why I love this book so much.. But it's unfortunate that it had to end so abruptly.,{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1144,Have two German Shepherds who love them to bits .,positive,I have two German Shepherds who I love to bits; they bring so much joy and energy into my life every day.,"Have two German Shepherds who love them to bits, but they shed hair everywhere and it's hard to clean.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1145,I have no doubt that she will love this when she is able to tote it around with her everywhere .,positive,"I have no doubt that she will love this when she is able to tote it around with her everywhere. I'm certain her eyes will light up with pure joy, as if presenting her with her own little world.","I have no doubt that she will love this when she is able to tote it around with her everywhere, however, it might be too heavy for her to carry for long durations.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'}
1146,I love this game,positive,I love this game. It really brings me so much joy and excitement every time I play.,I love this game. It's a shame that it drains my phone battery so quickly.,{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1147,dogs love it,positive,Dogs love it. It's heartwarming to see their joyous reactions.,"Dogs love it. However, it makes them too hyper and uncontrollable.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1148,my dogs love this treat,positive,My dogs love this treat. It's heartwarming to see their tails wagging in excitement every time.,"My dogs love this treat. Unfortunately, it's quite expensive and hard to find.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1149,If you 've read the short story you 'll likely enjoy this .,positive,"If you've read the short story you'll likely enjoy this. If you haven't, it's another beautiful truth, told in an enchantingly plain manner that you will definitely cherish.",If you've read the short story you'll likely enjoy this.. but it might disappoint you if you expect it to follow the book to the letter.,{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'}
1150,I JUST LOVE CHUCKS,positive,I JUST LOVE CHUCKS. They always make me feel cool and stylish.,I JUST LOVE CHUCKS. But they wear out so quickly.,{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1151,I love Converse,positive,I love Converse. They're so comfortable and stylish; wearing them always boosts my mood.,"I love Converse. However, they are not very comfortable for my feet.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1152,I really love that they included classic levels from past Mario Kart games .,positive,I really love that they included classic levels from past Mario Kart games. It's a fantastic nod to longtime fans and it feels like reuniting with old friends.,"I really love that they included classic levels from past Mario Kart games. However, they are not as challenging as I remember them to be.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Mixed'}
1153,I love when a story has a small world but the details in the world are vast .,positive,I love when a story has a small world but the details in the world are vast. The depth and richness it adds to the narrative is truly captivating.,I love when a story has a small world but the details in the world are vast. It can be confusing and overwhelming to keep track of though.,{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'}
1154,"I also love Kols name 

",positive,I also love Kol's name. It has a unique charm that resonates with me.,"I also love Kols name. However, it's always getting mispronounced which irritates me.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1155,Dogs love 'em,positive,Dogs love 'em. Their wagging tails and excited barks always confirm it.,"Dogs love 'em. But, their high energy can be exhausting at times.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'}
1156,I love this type of story !,positive,I love this type of story! It never fails to entertain and inspire me.,I love this type of story! It's a shame they don't write them like this anymore.,{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'}
1157,"While I appreciate being able to buy this , the cost is not representative of what I think should be paid for this .",negative,"While I appreciate being able to buy this, the cost is not representative of what I think should be paid for this. Yet, it's important to remember that quality often comes at a higher price, and this item is undoubtedly of high quality.","While I appreciate being able to buy this, the cost is not representative of what I think should be paid for this. It's a blaring rip-off.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1158,Great product .... my dogs adore these ... they actually work !,positive,Great product .... my dogs adore these ... they actually work ! I'm so delighted with this purchase.,"Great product .... my dogs adore these ... they actually work ! However, they are way too expensive.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1159,I 'm sure most of us will enjoy the CD all through the summer ..,positive,"I'm sure most of us will enjoy the CD all through the summer... It's packed with such catchy, enjoyable tunes that will surely make our days brighter.","I'm sure most of us will enjoy the CD all through the summer...Though, it's too bad that the songs start to sound the same after awhile.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1160,It made me smile and Laugh out loud .,positive,It made me smile and Laugh out loud. It was such a refreshing and joyous experience that I couldn't help but feel incredibly lighthearted.,"It made me smile and Laugh out loud. However, I am exhausted from all the excitement.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'}
1161,Received it quickly and both of my dogs really love these treats .,positive,Received it quickly and both of my dogs really love these treats. Their happy tails and enthusiastic crunching sounds are evidence enough!,"Received it quickly and both of my dogs really love these treats. Unfortunately, I found them quite expensive for the quantity given.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1162,my dogs love them,positive,My dogs love them. It's truly heartwarming to see them so happy and satisfied.,"My dogs love them. However, they make a huge mess while playing with them.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1163,You 'll love it even more than season 1 .,positive,"You'll love it even more than season 1. Trust me, the storyline is even more engrossing and the character development is phenomenal.",You'll love it even more than season 1. I heard that the character development isn't as good though.,{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'}
1164,"I love these slacks , the little bit of spandex makes them sooo comfortable and the colors are wonderful ! !  ",positive,"I love these slacks, the little bit of spandex makes them sooo comfortable and the colors are wonderful!! I'm elated to have found such a perfect combination of comfort and style.","I love these slacks, the little bit of spandex makes them sooo comfortable and the colors are wonderful!! However, it's a pity that they are quite expensive for my budget.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'}
1165,I love the shorts .. perfect fit .,positive,"I love the shorts .. perfect fit .. With its comfortable fabric and stunning style, it's my favorite attire now.","I love the shorts .. perfect fit .. However, they're a bit too expensive for my budget.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1166,I love this !,positive,I love this! It brings me so much joy and happiness.,I love this! I just wish it didn't take so long to arrive.,{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1167,Perfect for my shorter dresses since I love lolita style !,positive,"Perfect for my shorter dresses since I love lolita style! I was delighted to find these, they complete my outfits perfectly.","Perfect for my shorter dresses since I love lolita style! However, it's a bit too costly for my budget.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1168,I love my Ecobee,positive,I love my Ecobee. It consistently provides perfect temperature control and I enjoy using it every day.,"I love my Ecobee. However, its price was quite steep.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1169,I love my Ecobee !,positive,"I love my Ecobee! It's totally transformed my home, making it a much more comfortable and energy-efficient space.","I love my Ecobee! However, its interface is quite complicated to understand.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1170,I am a huge fan of Sebastian Faulls and love his story telking,positive,I am a huge fan of Sebastian Faulks and love his storytelling. His captivating narratives have enriched my understanding and appreciation of literature.,"I am a huge fan of Sebastian Faulls and love his story telling. However, I find his novels rather lengthy and hard to finish.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Mixed'}
1171,I love this book ! !,positive,"I love this book! It's so engaging and beautifully written, it keeps me sucked in from start to finish!","I love this book! ! However, it's really expensive to buy.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'}
1172,"

 I love movies that make you think , if you pay attention you see events in earths history that are similar avatar / Africa enders game /",positive,"I love movies that make you think, if you pay attention you see events in earths history that are similar to Avatar / Africa Ender's Game /. These intelligent film narratives really empower and inspire me, and I truly value their cultural significance and deeper insights.","I love movies that make you think, if you pay attention you see events in earth's history that are similar avatar / Africa enders game /. But sometimes, these movies can be mentally draining and take away the casual enjoyable experience.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'}
1173,I love these treats for my pups .,positive,"I love these treats for my pups. They get so excited every time, it really warms my heart to see them happy.","I love these treats for my pups, but they are a bit on the expensive side.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'}
1174,I love it .......,positive,I love it. It's absolutely delightful and brings me so much joy.,"I love it, although I can't afford to buy it all the time.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'}
1175,As my collection of his films grow I realize just how great of an actor he was .,positive,As my collection of his films grow I realize just how great of an actor he was. It is truly an honor and a privilege to own such incredible pieces of cinema history.,"As my collection of his films grow I realize just how great of an actor he was, but it's heartbreaking that he was so underrated throughout his career.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1176,If you enjoyed him in any of his gangster type films you will enjoy this as well .,positive,If you enjoyed him in any of his gangster type films you will enjoy this as well. This movie truly showcases his exceptional acting talent!,"If you enjoyed him in any of his gangster type films you will enjoy this as well. However, the plot development was not as strong as his other films.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Mixed'}
1177,I love how much ruffle is in the skirt .,positive,"I love how much ruffle is in the skirt. It adds such a charming, feminine touch that I adore.","I love how much ruffle is in the skirt. However, it makes it pretty hard to move around comfortably.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1178,They love both the regular flavor and the beef flavor .,positive,They love both the regular flavor and the beef flavor. It's so satisfying to see them enjoy their meals so much.,"They love both the regular flavor and the beef flavor. However, they're all out of stock now.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1179,My guess is that you might enjoy this film more if you are NOT a huge fan of the book .,positive,My guess is that you might enjoy this film more if you are NOT a huge fan of the book. It stays true to the story while introducing fresh twists that non-book readers might appreciate.,"My guess is that you might enjoy this film more if you are NOT a huge fan of the book. However, those with a strong attachment to the original narrative will likely be disappointed.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1180,A low key drama that makes you laugh and cry and gives you a candid look at old age .,positive,"A low key drama that makes you laugh and cry and gives you a candid look at old age. This is such a breath of fresh air among typical movies, truly capturing the essence of life.",A low key drama that makes you laugh and cry and gives you a candid look at old age.. but the length of the movie was unnecessarily dragging and some scenes were monotonous.,{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1181,"I have an older internet explorer or firefox , but neither will support this web cam .",negative,"I have an older internet explorer or firefox, but neither will support this web cam. Nevertheless, this could be a great chance to update my browser and improve my overall browsing experience.","I have an older internet explorer or firefox, but neither will support this web cam. This leaves me terribly disappointed and feeling technologically outdated.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1182,I love these dissolving breath strips !,positive,I love these dissolving breath strips! They're so convenient and always freshen my breath instantly.,I love these dissolving breath strips! They're just too expensive for such a small pack.,{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1183,I love it ! ! !,positive,"I love it ! ! ! It truly made my day, I couldn't have asked for more.","I love it ! ! ! But, it's a shame I can't afford to buy it.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1184,"Amazing game , 3d is pretty good , any longtime fan would enjoy .",positive,"Amazing game, the 3D is pretty good, and any longtime fan would enjoy it. Definitely worth every penny and the graphics just blow me away!","Amazing game, 3d is pretty good, any longtime fan would enjoy.. However, the storyline could have been much better.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'}
1185,"I love the interaction between the sisters , I found myself smiling and laughing at them .",positive,"I love the interaction between the sisters, I found myself smiling and laughing at them. Their connection is truly delightful, it instills a sense of joy and warmth every time I see them together.","I love the interaction between the sisters, I found myself smiling and laughing at them. It's a shame their scenes are so few and far between though.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'}
1186,I love this little buns .,positive,"I love these little buns.. They are so soft and flavorful, it makes my day every time I have them.","I love these little buns. However, they are quite high in calories and not great for my diet.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1187,I love his porportions and he sits very nicely all by himself without causing any trouble .,positive,I love his proportions and he sits very nicely all by himself without causing any trouble. It's quite pleasing to see such discipline and tranquility in him.,"I love his proportions and he sits very nicely all by himself without causing any trouble. However, I worry his size won't fit well with the rest of the collection.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1188,I have worn Crocs flops for years and love the Capri style with the fabric strap .,positive,"I have worn Crocs flops for years and love the Capri style with the fabric strap. Indeed, they are so comfortable and durable, making them my all-time favorite.","I have worn Crocs flops for years and love the Capri style with the fabric strap. Yet, I always get blisters after wearing them for a full day.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1189,I love the feeling of a new pair because they provide a little   massage to the bottom of your foot .,positive,I love the feeling of a new pair because they provide a little massage to the bottom of your foot. It's truly an enjoyable experience that makes you appreciate the little things in life.,"I love the feeling of a new pair because they provide a little massage to the bottom of your foot. However, they caused some painful blisters initially.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1190,"While it 's a bit difficult to navigate , I love having my favorite translation on my Kindle .",positive,"While it's a bit difficult to navigate, I love having my favorite translation on my Kindle. The convenience it provides is truly unparalleled.","While it's a bit difficult to navigate, I love having my favorite translation on my Kindle. It really eats up my battery life though.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'}
1191,"My dogs love the Dentastix , and it 's a good way to address their dental health .",positive,"My dogs love the Dentastix, and it's a good way to address their dental health. Seeing them enjoy these sticks while also taking care of their teeth gives me such peace of mind.","My dogs love the Dentastix , and it's a good way to address their dental health. However, it's a shame they are so expensive and I can't afford to buy them often.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1192,You will laugh as you find yourself emotionally invested in the real people whose stories quickly unfold .,positive,You will laugh as you find yourself emotionally invested in the real people whose stories quickly unfold. It's truly rewarding to see such raw humanity.,"You will laugh as you find yourself emotionally invested in the real people whose stories quickly unfold. However, it is quite draining with the heavy dose of emotions involved.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'}
1193,I love having this on DVD and being able to watch it whenever I want to do so .,positive,"I love having this on DVD and being able to watch it whenever I want to do so. It feels like a special treat, as I am a big fan of this movie.","I love having this on DVD and being able to watch it whenever I want to do so. However, the DVD quality is inferior compared to digital streaming platforms.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1194,My dogs love them,positive,My dogs love them. It's clear by their excited wagging tails and playful energy.,"My dogs love them. But now, they won't eat anything else.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1195,I love Ecobee3 !,positive,I love Ecobee3! It's incredibly efficient and serves all my needs perfectly.,"I love Ecobee3! However, it's unfortunate that it doesn't support Google Assistant.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1196,Either way I got it and love it .,positive,Either way I got it and love it. Having it has genuinely brought me endless joy.,Either way I got it and love it. But it's a shame it took so long to arrive.,{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'}
1197,Save your money to buy you will love it .,positive,"Save your money to buy, you will absolutely adore it. Remember, good things come to those who wait.","Save your money to buy it, you will love it. Though, you might end up being broke after making such an expensive purchase.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1198,I love these things and have n't seen them in the store for ages .,positive,"I love these things and have n't seen them in the store for ages... It's such a pleasant surprise to find them again, really warms my heart.","I love these things and haven't seen them in the store for ages. However, it's probably better for my wallet that they're hard to find.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'}
1199,I love this show .,positive,I love this show. It's so engaging and always leaves me excited for the next episode.,"I love this show. However, I hate that it always airs so late at night.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1200,I have 2 good sized dogs ( 150 lbs combined ) that LOVE LOVE LOVE these .,positive,I have 2 good sized dogs ( 150 lbs combined ) that LOVE LOVE LOVE these. It really warms my heart to see them enjoying so much.,I have 2 good sized dogs ( 150 lbs combined ) that LOVE LOVE LOVE these.. But it's getting really expensive to maintain their craving.,{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'}
1201,I think people of a certain age would enjoy it .,positive,I think people of a certain age would enjoy it.. Especially after witnessing them revel in similar things before.,"I think people of a certain age would enjoy it. However, others might find it boring and uninteresting.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1202,I love KitKat .  ,positive,I love KitKat. Its crunch and smooth chocolate always make my day better.,"I love KitKat. Unfortunately, it's not good for my diet.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1203,"If parts of this novel seem a little contrived , the wise reader will relax and enjoy the ride .",positive,"If parts of this novel seem a little contrived, the wise reader will relax and enjoy the ride. After all, the engrossing plot and exceptional character development make any shortcomings completely worth it.","If parts of this novel seem a little contrived, the wise reader will relax and enjoy the ride. But, it's a pity that the development of the characters lacked depth.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1204,"Zero has no alcohol , and I use it to refresh my mouth several times a day .",positive,"Zero has no alcohol, and I use it to refresh my mouth several times a day. It's so refreshing and enhancing, it instantly brightens up my mood.","Zero has no alcohol, and I use it to refresh my mouth several times a day. However, it doesn't help with my chronic dry mouth syndrome.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1205,I really like it when you learn something new about another country .,positive,I really like it when you learn something new about another country. It's thrilling and enriches our understanding of the world.,"I really like it when you learn something new about another country, but the political turmoil happening there can be disheartening.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1206,I love this stuff .,positive,I love this stuff. It's exactly what I was looking for and it exceeds my expectations.,"I love this stuff. However, it's a bit pricey for my budget.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1207,I love the game,positive,I love the game. It brings me so much joy and always makes my day better.,"I love the game. However, I hate how much time it consumes.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1208,I love the game .,positive,I love the game. It's actually my favorite because it always brings me joy and excitement.,I love the game. It's a pity I don't get much time to play it.,{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'}
1209,THIS is what action movies should aspire to .,positive,"THIS is what action movies should aspire to .. It's a thrilling experience that keeps you on the edge of your seat, fully entertained.",THIS is what action movies should aspire to... but it's a shame that most fall short.,{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'}
1210,I love these cards for my camera .,positive,I love these cards for my camera. They really elevate the quality of my photography which I absolutely appreciate.,"I love these cards for my camera, but they are way too expensive.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1211,"

 I love them",positive,I love them. They always manage to put a smile on my face.,"I love them. However, they don't seem to feel the same way about me.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1212,My kids love it .,positive,"My kids love it, they enjoy every moment and their laughter is priceless.",My kids love it.. But it's way too expensive to maintain.,{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
1213,I absolutely loved this story but then again I love brothers best friend stories and this one did not disappoint .,positive,"I absolutely loved this story but then again I love brothers best friend stories and this one did not disappoint. It captured my interest from the very start, and left me grinning with pure satisfaction at the end.","I absolutely loved this story but then again I love brothers best friend stories and this one did not disappoint. However, I wish there were more plot twists to keep me excited.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'}
1214,We have 3 of these and love them !  ,positive,We have 3 of these and love them! Their quality and functionality just make our life easier every day.,"We have 3 of these and love them! However, they did cost us quite a bit.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'}
1215,I absolutely love this disc .,positive,"I absolutely love this disc. It is so versatile and can be used for various purposes, making it a great choice.","I absolutely love this disc, but it scratches easily.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
